programId,level,location,exercise_count,count_within_tolerance_3,flag
legs,2,service,3,39,OK
legs,2,street,3,39,OK
legs,3,airport,6,49,OK
legs,3,gym,6,49,OK
legs,3,home,6,49,OK
legs,3,office,6,49,OK
legs,3,park,5,37,OK
legs,3,service,6,49,OK
legs,3,street,6,49,OK
legs,4,airport,8,59,OK
legs,4,gym,8,59,OK
legs,4,home,8,59,OK
legs,4,office,8,59,OK
legs,4,park,6,43,OK
legs,4,service,8,59,OK
legs,4,street,8,59,OK
legs,5,airport,12,55,OK
legs,5,gym,12,55,OK
legs,5,home,12,55,OK
legs,5,office,12,55,OK
legs,5,park,7,39,OK
legs,5,service,12,55,OK
legs,5,street,12,55,OK
legs,6,airport,10,56,OK
legs,6,gym,10,56,OK
legs,6,home,10,56,OK
legs,6,office,10,56,OK
legs,6,park,9,40,OK
legs,6,service,10,56,OK
legs,6,street,10,56,OK
legs,7,airport,10,57,OK
legs,7,gym,10,57,OK
legs,7,home,10,57,OK
legs,7,office,10,57,OK
legs,7,park,6,40,OK
legs,7,service,10,57,OK
legs,7,street,10,57,OK
legs,8,airport,6,50,OK
legs,8,gym,6,50,OK
legs,8,home,6,50,OK
legs,8,office,6,50,OK
legs,8,park,4,35,OK
legs,8,service,6,50,OK
legs,8,street,6,50,OK
legs,9,airport,4,40,OK
legs,9,gym,4,40,OK
legs,9,home,4,40,OK
legs,9,office,4,40,OK
legs,9,park,3,30,OK
legs,9,service,4,40,OK
legs,9,street,4,40,OK
legs,10,airport,7,31,OK
legs,10,gym,7,31,OK
legs,10,home,7,31,OK
legs,10,office,7,31,OK
legs,10,park,5,22,OK
legs,10,service,7,31,OK
legs,10,street,7,31,OK
legs,11,airport,1,21,OK
legs,11,gym,1,21,OK
legs,11,home,1,21,OK
legs,11,office,1,21,OK
legs,11,park,1,16,OK
legs,11,service,1,21,OK
legs,11,street,1,21,OK
legs,12,airport,2,15,OK
legs,12,gym,2,15,OK
legs,12,home,2,15,OK
legs,12,office,2,15,OK
legs,12,park,2,12,OK
legs,12,service,2,15,OK
legs,12,street,2,15,OK
legs,13,airport,1,11,OK
legs,13,gym,1,11,OK
legs,13,home,1,11,OK
legs,13,office,1,11,OK
legs,13,park,1,9,OK
legs,13,service,1,11,OK
legs,13,street,1,11,OK
muscle_up,1,airport,2,4,THIN
muscle_up,1,gym,2,4,THIN
muscle_up,1,home,2,4,THIN
muscle_up,1,office,2,4,THIN
muscle_up,1,park,2,4,THIN
muscle_up,1,service,2,4,THIN
muscle_up,1,street,2,4,THIN
muscle_up,2,airport,2,4,THIN
muscle_up,2,gym,2,4,THIN
muscle_up,2,home,2,4,THIN
muscle_up,2,office,2,4,THIN
muscle_up,2,park,2,4,THIN
muscle_up,2,service,2,4,THIN
muscle_up,2,street,2,4,THIN
muscle_up,3,airport,0,5,THIN
muscle_up,3,gym,0,5,THIN
muscle_up,3,home,0,5,THIN
muscle_up,3,office,0,5,THIN
muscle_up,3,park,0,5,THIN
muscle_up,3,service,0,5,THIN
muscle_up,3,street,0,5,THIN
muscle_up,4,airport,0,7,OK
muscle_up,4,gym,0,7,OK
muscle_up,4,home,0,7,OK
muscle_up,4,office,0,7,OK
muscle_up,4,park,0,8,OK
muscle_up,4,service,0,7,OK
muscle_up,4,street,0,7,OK
muscle_up,5,airport,0,7,OK
muscle_up,5,gym,0,7,OK
muscle_up,5,home,0,7,OK
muscle_up,5,office,0,7,OK
muscle_up,5,park,0,7,OK
muscle_up,5,service,0,7,OK
muscle_up,5,street,0,7,OK
muscle_up,6,airport,1,7,OK
muscle_up,6,gym,1,7,OK
muscle_up,6,home,1,7,OK
muscle_up,6,office,1,7,OK
muscle_up,6,park,1,7,OK
muscle_up,6,service,1,7,OK
muscle_up,6,street,1,7,OK
muscle_up,7,airport,2,8,OK
muscle_up,7,gym,2,8,OK
muscle_up,7,home,2,8,OK
muscle_up,7,office,2,8,OK
muscle_up,7,park,3,8,OK
muscle_up,7,service,2,8,OK
muscle_up,7,street,2,8,OK
muscle_up,8,airport,2,8,OK
muscle_up,8,gym,2,8,OK
muscle_up,8,home,2,8,OK
muscle_up,8,office,2,8,OK
muscle_up,8,park,1,8,OK
muscle_up,8,service,2,8,OK
muscle_up,8,street,2,8,OK
muscle_up,9,airport,2,8,OK
muscle_up,9,gym,2,8,OK
muscle_up,9,home,2,8,OK
muscle_up,9,office,2,8,OK
muscle_up,9,park,2,8,OK
muscle_up,9,service,2,8,OK
muscle_up,9,street,2,8,OK
muscle_up,10,airport,1,7,OK
muscle_up,10,gym,1,7,OK
muscle_up,10,home,1,7,OK
